KEY,IR,GDP,UR,CPI,NFP,NHS,CU,CCI,NAPM,UNL,RS
198006,11.4,2840.0086666667,7.6,82.5,90099,552,78.6,97.82419,30.3,55.0136666667,10
198007,10.87,2860.044,7.8,82.6,89837,636,77.8,97.77576,35,55.429,10
198008,10,2904.5376666667,7.7,83.2,90097,659,78,97.73311,45.5,55.7093333333,11
198009,10.17,2949.0313333333,7.5,83.9,90210,596,79.1,97.69099,50.1,55.9896666667,10
198010,11,2993.525,7.5,84.7,90491,561,79.9,97.62962,55.5,56.27,10
198011,11.47,3039.6163333333,7.5,85.6,90748,562,81.1,97.55669,58.2,56.367,10
198012,12.87,3085.7076666667,7.2,86.4,90943,532,81.3,97.47746,53,56.464,10
198101,13,3131.799,7.5,87.2,91037,511,80.7,97.37635,49.2,56.561,13
198102,13,3143.6163333333,7.4,88,91105,510,80.1,97.2961,48.8,57.0746666667,11
198103,13,3155.4336666667,7.4,88.6,91210,514,80.3,97.25629,49.6,57.5883333333,11
198104,13,3167.251,7.2,89.1,91283,470,79.8,97.24213,51.6,58.102,13
198105,13.87,3198.5683333333,7.5,89.7,91293,467,80,97.24438,53.5,58.2616666667,12
198106,14,3229.8856666667,7.5,90.5,91490,415,80.2,97.27343,50.7,58.4213333333,11
198107,14,3261.203,7.2,91.5,91602,431,80.5,97.35712,46.7,58.581,13
198108,14,3268.6473333333,7.4,92.2,91566,378,80.3,97.4203,48.3,59.1573333333,12
198109,14,3276.0916666667,7.6,93.1,91479,338,79.6,97.47515,42.5,59.7336666667,11
198110,14,3283.536,7.9,93.4,91380,356,78.9,97.55809,40,60.31,13
198111,13.03,3280.2936666667,8.3,93.8,91171,382,77.8,97.58349,36.1,60.977,12
198112,12.1,3277.0513333333,8.5,94.1,90893,457,76.7,97.5348,37.8,61.644,11
198201,12,3273.809,8.6,94.4,90567,368,75,97.43915,38.2,62.311,13
198202,12,3292.9663333333,8.9,94.7,90562,365,76.4,97.41605,38.3,62.4596666667,10
198203,12,3312.1236666667,9,94.7,90432,374,75.7,97.49899,36.8,62.6083333333,10
198204,12,3331.281,9.3,95,90152,339,74.8,97.65857,37.8,62.757,12
198205,12,3343.2113333333,9.4,95.9,90107,384,74.2,97.7195,35.5,63.0456666667,12
198206,12,3355.1416666667,9.6,97,89864,370,73.9,97.65778,38.3,63.3343333333,10
198207,11.81,3367.072,9.8,97.5,89522,375,73.6,97.53981,38.4,63.623,13
198208,10.68,3380.6513333333,9.8,97.7,89364,407,72.8,97.40134,38.3,63.716,11
198209,10,3394.2306666667,10.1,97.7,89183,481,72.5,97.27413,38.8,63.809,13
198210,9.68,3407.81,10.4,98.1,88906,480,71.8,97.14178,39.4,63.902,12
198211,9.35,3431.9803333333,10.8,98,88783,554,71.5,97.06688,39.2,63.9063333333,10
198212,8.73,3456.1506666667,10.8,97.7,88769,521,70.9,97.04932,42.8,63.9106666667,10
198301,8.5,3480.321,10.4,97.9,88993,582,72.2,97.10123,46,63.915,12
198302,8.5,3514.8286666667,10.4,98,88918,562,71.7,97.17318,54.4,63.759,10
198303,8.5,3549.3363333333,10.3,98.1,89090,596,72.3,97.28497,53.9,63.603,10
198304,8.5,3583.844,10.2,98.8,89366,638,73.1,97.45365,54.2,63.447,12
198305,8.5,3619.9816666667,10.1,99.2,89643,664,73.6,97.58179,56.1,63.4586666667,11
198306,8.5,3656.1193333333,10.1,99.4,90022,651,74,97.65411,57.5,63.4703333333,10
198307,8.5,3692.257,9.4,99.8,90440,606,75.1,97.70073,63.6,63.482,13
198308,8.5,3726.8783333333,9.5,100.1,90132,572,75.9,97.72482,63.1,63.5863333333,10
198309,8.5,3761.4996666667,9.2,100.4,91247,608,77,97.74731,62.5,63.6906666667,13
198310,8.5,3796.121,8.8,100.8,91518,632,77.6,97.78286,64.4,63.795,13
198311,8.5,3835.0053333333,8.5,101.1,91871,644,77.8,97.81733,66,63.943,10
198312,8.5,3873.8896666667,8.3,101.4,92227,773,78.1,97.86355,69.9,64.091,13
198401,8.5,3912.774,8,102.1,92673,691,79.6,97.92692,60.5,64.239,13
198402,8.5,3946.8493333333,7.8,102.6,93154,696,79.8,97.95911,61.3,64.25,14
198403,8.5,3980.9246666667,7.8,102.9,93429,641,80.1,97.97745,58.9,64.261,13
198404,8.87,4015,7.7,103.3,93792,639,80.5,98.03268,61,64.272,12
198405,9,4039.126,7.4,103.5,94100,615,80.7,98.09932,58.6,64.4636666667,11
198406,9,4063.252,7.2,103.7,94479,630,80.9,98.20308,58.1,64.6553333333,13
198407,9,4087.378,7.5,104.1,94792,619,81,98.35426,56.1,64.847,13
198408,9,4107.454,7.5,104.4,95034,567,80.9,98.44395,53,64.99,14
198409,9,4127.53,7.3,104.7,95344,662,80.5,98.45828,50,65.133,14
198410,9,4147.606,7.4,105.1,95630,687,80.2,98.48,50.8,65.276,12
198411,8.83,4177.4073333333,7.2,105.3,95979,597,80.3,98.67419,50.3,65.4936666667,14
198412,8.37,4207.2086666667,7.3,105.5,96107,597,80.2,99.17525,50.6,65.7113333333,13
198501,8,4237.01,7.3,105.7,96373,645,79.9,99.98392,50.3,65.929,15
198502,8,4258.7723333333,7.2,106.3,96497,682,80,100.4664,49.9,66.0516666667,13
198503,8,4280.5346666667,7.2,106.8,96843,671,79.9,100.628,47.8,66.1743333333,13
198504,8,4302.297,7.3,107,97039,620,79.5,100.5948,48.2,66.297,11
198505,7.81,4333.0523333333,7.2,107.2,97313,678,79.4,100.5607,47.1,66.2956666667,14
198506,7.5,4363.8076666667,7.4,107.5,97459,722,79.3,100.6022,47.8,66.2943333333,13
198507,7.5,4394.563,7.4,107.7,97649,766,78.6,100.694,47.9,66.293,12
198508,7.5,4414.077,7.1,107.9,97842,726,78.7,100.7403,47.7,66.6443333333,13
198509,7.5,4433.591,7.1,108.1,98045,678,78.9,100.7759,49.9,66.9956666667,13
198510,7.5,4453.105,7.1,108.5,98233,655,78.5,100.8461,50.9,67.347,11
198511,7.5,4474.1846666667,7,109,98442,733,78.6,100.9259,52,67.4253333333,14
198512,7.5,4495.2643333333,7,109.5,98609,721,79.3,101.0322,50.7,67.5036666667,12
198601,7.5,4516.344,6.7,109.9,98734,733,79.6,101.1899,51.2,67.582,14
198602,7.5,4529.311,7.2,109.7,98841,728,78.9,101.2981,51,67.6793333333,13
198603,7.1,4542.278,7.2,109.1,98935,880,78.3,101.3835,51,67.7766666667,13
198604,6.83,4555.245,7.1,108.7,99122,857,78.3,101.4554,49.7,67.874,11
198605,6.5,4576.7056666667,7.2,109,99249,789,78.4,101.5396,53.4,68.012,13
198606,6.5,4598.1663333333,7.2,109.4,99155,728,78.1,101.4779,50.5,68.15,12
198607,6.16,4619.627,7,109.5,99473,698,78.4,101.2557,48,68.288,15
198608,5.82,4636.2166666667,6.9,109.6,99587,621,78.2,101.0356,52.6,68.65,13
198609,5.5,4652.8063333333,7,110,99934,763,78.3,100.9235,52.4,69.012,12
198610,5.5,4669.396,7,110.2,100120,669,78.5,100.9418,51.2,69.374,15
198611,5.5,4691.6743333333,6.9,110.4,100306,707,78.8,100.9952,51.2,69.5983333333,14
198612,5.5,4713.9526666667,6.6,110.8,100511,784,79.3,100.9989,50.5,69.8226666667,11
198701,5.5,4736.231,6.6,111.4,100683,709,79,100.907,54.9,70.047,14
198702,5.5,4764.6403333333,6.6,111.8,100915,732,79.8,100.7729,52.6,70.064,12
198703,5.5,4793.0496666667,6.6,112.2,101164,713,79.8,100.6404,55,70.081,12
198704,5.5,4821.459,6.3,112.7,101502,735,80.2,100.5131,55.5,70.098,15
198705,5.5,4847.809,6.3,113,101728,651,80.5,100.4142,57.2,70.314,13
198706,5.5,4874.159,6.2,113.5,101900,637,80.7,100.3308,57.4,70.53,11
198707,5.5,4900.509,6.1,113.8,102247,658,81.1,100.2581,57.5,70.746,14
198708,5.5,4941.2293333333,6,114.3,102418,657,81.7,100.301,59.3,70.8533333333,13
