1/1/1939,29923
2/1/1939,30101
3/1/1939,30280
4/1/1939,30094
5/1/1939,30300
6/1/1939,30502
7/1/1939,30419
8/1/1939,30663
9/1/1939,31032
10/1/1939,31408
11/1/1939,31469
12/1/1939,31539
1/1/1940,31603
2/1/1940,31715
3/1/1940,31826
4/1/1940,31700
5/1/1940,31880
6/1/1940,31978
7/1/1940,31942
8/1/1940,32352
9/1/1940,32810
10/1/1940,33265
11/1/1940,33668
12/1/1940,34172
1/1/1941,34480
2/1/1941,34844
3/1/1941,35094
4/1/1941,35469
5/1/1941,36182
6/1/1941,36651
7/1/1941,37137
8/1/1941,37544
9/1/1941,37835
10/1/1941,37948
11/1/1941,38024
12/1/1941,38104
1/1/1942,38347
2/1/1942,38513
3/1/1942,38936
4/1/1942,39352
5/1/1942,39772
6/1/1942,40028
7/1/1942,40471
8/1/1942,40988
9/1/1942,41255
10/1/1942,41515
11/1/1942,41673
12/1/1942,41915
1/1/1943,42172
2/1/1943,42395
3/1/1943,42553
4/1/1943,42647
5/1/1943,42596
6/1/1943,42781
7/1/1943,42701
8/1/1943,42546
9/1/1943,42485
10/1/1943,42675
11/1/1943,42820
12/1/1943,42746
1/1/1944,42655
2/1/1944,42544
3/1/1944,42292
4/1/1944,42063
5/1/1944,41985
6/1/1944,41947
7/1/1944,41905
8/1/1944,41850
9/1/1944,41672
10/1/1944,41709
11/1/1944,41712
12/1/1944,41861
1/1/1945,41897
2/1/1945,41904
3/1/1945,41796
4/1/1945,41443
5/1/1945,41304
6/1/1945,41149
7/1/1945,40873
8/1/1945,40467
9/1/1945,38500
10/1/1945,38599
11/1/1945,38997
12/1/1945,39112
1/1/1946,39832
2/1/1946,39251
3/1/1946,40193
4/1/1946,40909
5/1/1946,41349
6/1/1946,41733
7/1/1946,42153
8/1/1946,42643
9/1/1946,42909
10/1/1946,43094
11/1/1946,43397
12/1/1946,43379
1/1/1947,43539
2/1/1947,43563
3/1/1947,43606
4/1/1947,43492
5/1/1947,43638
6/1/1947,43808
7/1/1947,43743
8/1/1947,43959
9/1/1947,44201
10/1/1947,44415
11/1/1947,44487
12/1/1947,44579
1/1/1948,44682
2/1/1948,44537
3/1/1948,44681
4/1/1948,44370
5/1/1948,44795
6/1/1948,45033
7/1/1948,45160
8/1/1948,45176
9/1/1948,45295
10/1/1948,45251
11/1/1948,45194
12/1/1948,45029
1/1/1949,44671
2/1/1949,44500
3/1/1949,44238
4/1/1949,44230
5/1/1949,43982
6/1/1949,43739
7/1/1949,43529
8/1/1949,43622
9/1/1949,43784
10/1/1949,42950
11/1/1949,43245
12/1/1949,43517
1/1/1950,43528
2/1/1950,43298
3/1/1950,43952
