,date,gdp,ulc,ir,cpi,nhs,cu,rs,napm,nfp,ur,cci
286,11/1/2015,18299.87967,108.3466667,0.75,238.072,508,76.0883,450509,48.4,142859,5,127.0850249
287,12/1/2015,18312.53333,108.0943333,1,237.827,536,75.7183,452756,48,143093,5,128.8945598
288,1/1/2016,18325.187,107.842,1,237.99,520,76.2521,448171,48.2,143196,4.9,128.0593899
289,2/1/2016,18396.13767,108.1723333,1,237.532,525,75.7089,451209,49.7,143453,4.9,127.6418049
290,3/1/2016,18467.08833,108.5026667,1,238.022,533,75.0794,451274,51.7,143688,5,126.66744
291,4/1/2016,18538.039,108.833,1,238.843,566,75.1924,454231,50.7,143862,5,123.8835402
292,5/1/2016,18601.736,108.842,1,239.439,560,75.0425,455753,51,143896,4.7,131.8176546
293,6/1/2016,18665.433,108.851,1,240.074,559,75.2555,460563,52.8,144181,4.9,130.1473147
294,7/1/2016,18729.13,108.86,1,240.058,627,75.3571,459744,52.3,144506,4.9,125.2754901
295,8/1/2016,18787.935,108.35,1,240.569,567,75.2584,460198,49.4,144681,4.9,124.9971001
296,9/1/2016,18846.74,107.84,1,241.017,570,75.1197,463045,51.7,144945,5,126.94583
297,10/1/2016,18905.545,107.33,1,241.667,577,75.1762,465977,52,145085,4.9,121.3780304
298,11/1/2016,18956.265,107.7753333,1,242.081,579,74.9773,465668,53.5,145257,4.6,130.5648997
299,12/1/2016,19006.985,108.2206667,1.25,242.784,548,75.6544,468940,54.5,145437,4.7,136.6894792
300,1/1/2017,19057.705,108.666,1.25,244.028,599,75.4469,474029,56,145696,4.8,137.1070641
301,2/1/2017,19121.80633,108.572,1.25,244.102,615,75.1426,473111,57.6,145896,4.7,134.0447744
302,3/1/2017,19185.90767,108.478,1.5,243.717,638,75.5371,472991,56.6,145969,4.5,134.8799443
303,4/1/2017,19250.009,108.384,1.5,244.087,590,76.2446,474547,55.3,146144,4.4,135.0191393
